Organization	NEW Search Category	NEW Search Category 2	Search Category 1	Search Category 2	Search Category 3	Search Category 4	Search Category 5	Search Category 6	Revised Service Class: Level 1	Revised Service Class: Level 1	Revised Service Class: Level 1	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Service Class 1	Service Class 2	Service Class 3	Website URL	Address	Unit Number	City	State	Zip Code	County	Phone Number	Contact Name 1	Contact Email 1	Contact Name 2	Contact Email 2 (NOT FOR PUBLIC USE)	Target Population 1	Target Population 2	Target Population 3	Min Age	Max Age	Mission Statement	Languages Spoken	Wheelchair Accessible?	Insurance Accepted	Additional Notes
Unitarian Universalist Urban Ministry Renewal House	Employment & Housing Services		Housing and Shelter Services	Education, Training, and Employment					Support Services	Placement Services	Basic Support	Emergency Placement	Community Outreach, Education, and Enagement	Hotline Services								http://www.uuum.org/?page_id=199	10 Putnam Street		Roxbury	MA	02119	Suffolk	(617) 318-6010	Susan Chorley, Senior Program Director (617) 277-4194	schorley@uuum.org						18		Renewal House is a domestic violence shelter for individuals and families who are fleeing violence or abuse. Since 1980, Renewal House has provided temporary emergency shelter and advocacy services to more than 1,000 individuals and families escaping domestic violence. Renewal House was one of the first domestic violence shelters in the state to provide shelter for male survivors as well as female, and is sought out by other agencies for its expertise in attending to the spiritual needs of survivors. Renewal House works closely with other programs that serve the LGBTQ communities, as well as those that serve elders and individuals with disabilities to provide the best support we can to these under-served populations.	English, Spanish	No	N/A	
United Congregational Church Worcester	Faith Based Organization		Faith Based Organization						Para-Professional Support Services													www.ucc-worcester.org	6 Institute Road		Worcester	MA	01609	Worcester	(508) 752-3785		staff@ucc-worcester.org												
Unity Somerville	Faith Based Organization		Faith Based Organization						Para-professional Support Services													http://www.unitygreaterboston.org/home.html	6 William Street		Somerville	MA	02144	Middlesex	(617) 623-1212		unitysomerville@gmail.com 												
Universalist Unitarian Church of Haverhill	Faith Based Organization		Faith Based Organization						Para-professional Support Services													www.uuhaverhill.org	15 Kenoza Avenue		Haverhill	MA	01830	Essex	(978) 372-5173	Lisa Compton	office@uuhaverhill.org 								We are a progressive faith community that welcomes just you as you are. This is a church where you can bring your dreams and your doubts, your hopes and your longings. Here you'll find a lively spirituality: joyful worship, caring people, spiritual depth, ways to serve. Our mission is to be a faith community transforming lives and the world.	English	First Floor Only	N/A	
Venture Out	Community & Social Support		Community Group						Para-professional Support Services 			Recreation Services							Clubhouse			http://www.visitnorthampton.net/gay-northampton/northampton-glbt-resources.html			Northampton	MA		Hampshire	(413) 584-8764		ventureout.geo@yahoo.com - EMAIL NOT WORKING			LGBTQ					This is an outdoor adventure club for the lesbian, gay, bisexual, and transgender community of Western Mass. Volleyball, bowling, and lots more.				
WAGLY (West Suburban Alliance of Gay, Lesbian, Bisexual, Transgender and Queer Youth)	Community & Social Support		Community Group						Para-professional Support Services 			Para-professional Counseling, Therapy and Support							Clubhouse			www.wagly.org	309 Washington Street		Wellesley Hills	MA	02481	Norfolk	(781) 235-7423 x112		info@wagly.org	Jack Patrick Lewis (508) 875-2122	Jack.Lewis@WAGLY.org	LGBTQ			12	19	The mission of the West Suburban Alliance of Gay, Lesbian, Bisexual, Transgender, and Queer Youth (WAGLY) is to support the health and emotional well-being of GLBTQ teens in the Boston MetroWest area by offering youth-led and adult-supported social and educational programs.	English	Yes	N/A	Meetings at the Parish Hall of the Unitarian Universalist Society of Wellesley Hills every Monday evening from 6:45 pm to 8:30 pm (except on school vacation weekends and holidays).
The Home For Little Wanderers, Waltham House	Employment & Housing Services	Mental Health	Housing and Shelter Services	Counseling, Therapy, Psychological and Psychiatric Services					Support Services	Behavioral Health Services		Placement Services and Supports							Child/Adolescent Short-term Stabilization, Emergency Placement			http://www.thehome.org/site/PageServer?pagename=programs_waltham_house#.UZTtTKJwfSg			Waltham	MA	02451	Suffolk	(617) 267-3700		rreed@thehome.org	Katie Miller (781) 647-9976	kmiller@thehome.org	LGBTQ			14	18	Waltham House is a group home program designed to provide a safe and supportive living environment for up to 12 gay, lesbian, bisexual and transgender (GLBT) youth ages 14-18.	English	No	MassHealth, Private health insurance, Private pay (no insurance)	
West Parish Church of Andover	Faith Based Organization		Faith Based Organization						Para-professional Support Services													http://www.westparishchurch.org/	129 Reservation Road		Andover	MA	01810	Essex	(978) 475-3528	Betsy Collins	westparishchurch@verizon.net								At West Parish Church we are committed to bringing about Jesus' vision of compassion, justice and peace. Empowered by the Spirit, we strive to live our faith in service to one another, our neighbors and the world.	English	Yes	N/A	
Worcester Police Department, LGBT Liaison Richard F. Bates	Legal		Legal Services						Other Professional Services			Legal Services													Worcester	MA		Worcester	(508) 799-8694	Richard F. Bates	batesr@worcesterma.gov												
Younger Bi/Fluid Group (Bisexual Resource Center)	Community & Social Support		Community Group						Para-professional Support Services			Para-professional Counseling, Therapy and Support							Clubhouse			http://www.biresource.net/bostongroups.shtml	250 Elm Street		Somerville	MA	02144	Middlesex	(617) 424-9595		mailto:youngblissboston@gmail.com			LGBTQ			20	29	If you are between the ages of 20-29 and identify somewhere along the lines of bisexual/omni/pan/fluid, or are questioning, please join us once a month for a few hours of discussion and support. Meetings are held on second Thursdays of each month at the back table at The Diesel Cafe, 257 Elm St, Somerville. All genders welcome!				
Youth on Fire	Community & Social Support		Health and Mental Health	Housing and Shelter Services	Screening and Testing	Drop-in Center 			Diagnostics 	Awareness	 Para-professional Support Services	Medical Screening and Testing	Drop-in Center 	Hotline Services	Recreation Services	Case Management			Clubhouse			http://www.aac.org/about/our-work/youth-on-fire.html	1555 Massachusetts Avenue		Cambridge	MA	02138	Middlesex	(617) 661-2508		mailto:yof@aac.org	Ayala Livny (617) 661-2803	alivny@aac.org	LGBTQ			14	24	Youth on Fire (YOF), a program of AIDS Action Committee of Massachusetts, is a drop-in center for homeless and street - involved youth, ages 14-24, located in Harvard Square, Cambridge. The primary goals of Youth on Fire are to respond to the basic and urgent needs of homeless and street-involved young adults, connect homeless and street-involved youth to age-appropriate services, and create safe and supportive relationships and a sense of community. 	English, Spanish, Hatian Creole 	No	N/A	
YWCA North Shore Rape Crisis Center - NOT TRANS COMPETENT	Mental Health		Health and Mental Health	Domestic and Sexual Violence Services	Counseling, Therapy, Psychological and Psychiatric Services	Hotline Services			Para-professional Support Services			Para-professional Counseling, Therapy and Support										www.nsrcc.org	20 Central Avenue	Suite 510	 Lynn	MA	01901	Essex	(781) 477-2313		teen@ywcalawrence.org	Eliza Campbell	ecampbell@ywcalawrence.org				12		The North Shore Rape Crisis Center provides services to all sexual assault survivors ages 12 years old or older and their significant others. We welcome all survivors regardless of race, ethnicity, gender, gender identity/expression, sexual orientation, disability, economic status, or legal status. All of our services are free and confidential.	English, Spanish, Hatian Creole 	Yes	N/A	
Child Guidance Clinic	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services	Screening and Testing	Domestic and Sexual Violence Services			Behavioral Health Services	Diagnostics		Clinical Counseling	Other Professional Counseling and Therapy	Clinical Screening and Testing	Primary Care Services				Clinicial and Medical Counseling, Therapy, and Treatment			http://bhninc.org/content/child-guidance-clinic	110 Maple Street		Springfield	MA		Hampden	(413) 732-7419	intake dept, vm									The Child Guidance Clinic provides comprehensive mental health,educational, developmental, behavioral, and consultative services to Springfield and surrounding communities.  Our multidisciplinary staff offers a variety of culturally competent programs in our clinic, at numerous community sites, and in homes.				
Children's Hospital Boston, Adolescent Medicine	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services	Substance Abuse Services				Behavioral Health Services			Clinical Counseling	Behavioral Counseling	Other Professional Counseling and Therapy	Primary Care Services				Clinical and Medical Counseling, Therapy, and Treatment			http://www.childrenshospital.org/centers-and-services/division-of-adolescent-medicine/overview	300 Longwood Avenue		Boston	MA	02115	Suffolk	(617) 355-7181					LGBTQ					The Division of Adolescent/Young Adult Medicine at Boston Children's Hospital provides state-of-the-art, comprehensive primary care and specialty care to patients, ages 10 to 23 years old.  Whether your teen has a common affliction or complex conditions requiring coordinated care, she is in good hands with us.				
